ID	type	name	weight	unit	description	value	material	water	food	pice	actionA	actionB	actionX	actionY	messageA	messageB	messageC	messageD
柴刀	工具	柴刀	500	柄	这是一柄沉甸甸的砍柴刀，普通百姓的日常用品。	50	铁	0	0	0	无	砍	拿	无	无	$N「唰」的一声抽出一柄$n握在手中。	$N将手中的$n插回腰间。	无
锄头	工具	锄头	500	把	这是一把锄头，普通百姓的日常务农用品。	50	铁	0	0	0	无	锄	拿	无	无	$N「唰」的一声抽出一柄$n握在手中。	$N将手中的$n抗在肩上。	无
大碗茶	饮水	大碗茶	50	杯	一杯大碗茶，悠悠地冒着热气～～～	0	水	30	0	3	喝	无	无	无	$N端起杯茶，有滋有味地品了几口。一股香气直入心脾，$N觉得精神好多了。	无	无	无
麻婆豆腐	食物	麻婆豆腐	200	碗	在雪白细嫩的豆腐上、点缀着棕红色的牛肉末和油绿的青蒜苗，外围一圈透亮的红油，如玉镶琥珀，具有麻、辣、烫、嫩、酥、香、鲜的独特风味。	60	食	0	50	3	吃	无	无	无	无	无	无	无
锦缎	衣服	锦缎	3000	件	华贵的锦缎	10000	丝绸	0	0	0	无	无	穿	无	无	无	无	无
锯子	工具	锯子	500	把	这是一用来锯木头的锯子，普通百姓的日常用品。	50	铁	0	0	0	无	锯	拿	无	无	$N拿出一把$n握在手中。	$N将手中的扛在肩上。	无
馒头	食物	馒头	50	个	一个刚从蒸笼里拿出来的白馒头，还冒着热气～～～	120	食	0	40	5	吃	无	拿	无	无	无	无	无
瓢	工具	瓢	500	把	这是一个用老葫芦劈开做成的瓢，普通百姓的日常务农用品。	50	铁	0	0	0	无	浇水	拿	无	无	$N拿出一把$n握在手中。	$N将手中的$n插在腰上。	无
米饭	食物	米饭	50	碗	一碗刚从锅里盛出来的大米饭，还冒着热气～～～	120	食	0	40	3	吃	无	无	无	无	无	无	无
扫帚	工具	扫帚	500	把	这是一把扫帚，普通百姓的日常用品。	0	铁	0	0	0	无	扫	拿	无	无	$N拿出一把$n握在手中。	$N将手中的$n抗在肩上。	无
水桶	工具	水桶	2000	只	这是一只水桶，普通百姓的日常用品。	50	铁	0	0	0	无	无	无	无	无	$N拿出一只$n担在肩中。	$N将肩上的$n放了下来。	无
香茶	饮水	香茶	50	杯	一杯热茶，悠悠地冒着香气～～～	0	水	30	0	3	喝	无	无	无	$N端起杯茶，有滋有味地品了几口。一股香气直入心脾，$N觉得精神好多了。	无	无	无
月饼	食物	月饼	200	个	这是个中国人在中秋节长吃的月饼，烤制精细，甜而不腻。	150	食	0	60	3	吃	无	无	无	无	无	无	无
金刚指经	书籍	金刚指经	20	本	描述金刚指法的书本	500	纸	0	0	0	读书	无	无	无	无	无	无	无
