id	name	season	weather	type	descriptionOut	descriptionIn	color	param	hour
春晴朗午夜	春晴朗午夜	春	晴朗	午夜	已经是午夜了，四野虫鸣人寂	夜幕低垂，满天繁星	深蓝	event_midnight	1
春晴朗午夜	春晴朗午夜	春	晴朗	午夜	已经是午夜了，四野虫鸣人寂	夜幕低垂，满天繁星	深蓝	event_midnight	2
春晴朗黎明	春晴朗黎明	春	晴朗	黎明	东方的天空中开始出现一丝白微曦	东方的天空已逐渐发白	浅灰	event_dawn	3
春晴朗黎明	春晴朗黎明	春	晴朗	黎明	东方的天空中开始出现一丝白微曦	东方的天空已逐渐发白	浅灰	event_dawn	4
春晴朗朝阳	春晴朗朝阳	春	晴朗	朝阳	太阳从东方的地平线升起了。一片红红的朝霞	太阳刚从东方的地平线升起	浅红	event_sunrise	5
春晴朗早晨	春晴朗早晨	春	晴朗	早晨	太阳慢慢地升起在东方的天空中	太阳正高挂在东方的天空中	红色	event_morning	6
春晴朗中午	春晴朗中午	春	晴朗	中午	已经是正午了，太阳从你正上方照耀著大地	现在是正午时分，太阳高挂在你的头顶正上方	黄色	event_noon	7
春晴朗中午	春晴朗中午	春	晴朗	中午	已经是正午了，太阳从你正上方照耀著大地	现在是正午时分，太阳高挂在你的头顶正上方	黄色	event_noon	8
春晴朗下午	春晴朗下午	春	晴朗	下午	太阳开始从西方的天空中慢慢西沉	太阳正高挂在西方的天空中	浅黄	event_afternoon	9
春晴朗夕阳	春晴朗夕阳	春	晴朗	夕阳	傍晚了，太阳的馀晖将西方的天空映成一片火红	一轮火红的夕阳正徘徊在西方的地平线上	橘黄	event_evening	10
春晴朗傍晚	春晴朗傍晚	春	晴朗	傍晚	夜晚降临了，远处的群山渐在你的视野里模糊了	夜幕笼罩著大地，四周掩映在迷茫的夜色里	青色	event_night	11
春晴朗傍晚	春晴朗傍晚	春	晴朗	傍晚	夜晚降临了，远处的群山渐在你的视野里模糊了	夜幕笼罩著大地，四周掩映在迷茫的夜色里	青色	event_night	12
